,Bedrooms,Bathrooms,Facing,Furnishing,Tennants,Area,Locality,Location,Price
0,2 BHK Apartment,2,EAST,Semi-Furnished,Bachelors/Family,1250 sqft,Attapur,Attapur,18168.016324119875
1,2 BHK Apartment,1,NORTH,Semi-Furnished,Bachelors,1350 sqft,"Manikonda, Outer Ring Road",Manikonda,20744.07864505366
2,2 BHK Apartment,1,EAST,Semi-Furnished,Bachelors/Family,1314 sqft,"My Home Avatar, My home avatar",Narsingi,20155.547957617546
3,3 BHK Apartment,1,NORTH,Semi-Furnished,Bachelors/Family,2000 sqft,"Lakdikapul, NH",Nampally,32545.573018985062
4,2 BHK Apartment,1,WEST,Semi-Furnished,Bachelors,1200 sqft,"Lingampally-Serilingampally, NH",Miyapur,18336.93742732767
5,3 BHK Apartment,4,immediately,Semi-Furnished,Bachelors/Family,2580 sqft,Whitefields,Gachibowli,39386.92581827537
6,2 BHK Apartment,2,WEST,Unfurnished,Bachelors,1260 sqft,Kondapur,Kondapur,16017.693383846894
7,3 BHK Service Apartment,1,WEST,Furnished,Bachelors,1460 sqft,Shamshabad,Shamshabad,29906.06953608047
8,3 BHK Apartment,1,SOUNTH,Semi-Furnished,Bachelors,2092 sqft,"Morning Raga, Alkapur Township, Manikonda, Outer Ring Road",Manikonda,34395.85984492174
9,3 BHK Builder Floor,2,read more,Furnished,Family,1700 sqft,"Dilsukh Nagar, NH",Dilsukh Nagar,31181.22330875674
10,3 BHK Apartment,2,read more,Semi-Furnished,Bachelors/Family,1500 sqft,Brindavan Colony-Toli Chowki,Mehdipatnam,21547.857703849095
11,2 BHK Apartment,2,read more,Semi-Furnished,Bachelors/Family,1314 sqft,"My Home Avatar, Narsingi, Outer Ring Road",Narsingi,19001.880685691896
12,2 BHK Builder Floor,2,SOUNTH,Furnished,Bachelors/Family,950 sqft,"Himayath Nagar, NH",Himayatnagar,23439.70837731101
13,2 BHK Apartment,1,NORTH,Unfurnished,Bachelors/Family,6000 sqft,"Chandanagar, NH",Miyapur,165895.57482736176
14,3 BHK Apartment,2,immediately,Semi-Furnished,Bachelors/Family,1340 sqft,Aminpur,Miyapur,19346.805553517566
15,3 BHK Apartment,1,immediately,Unfurnished,Bachelors,1350 sqft,Attapur,Attapur,18803.94284075807
16,3 BHK Apartment,2,immediately,Unfurnished,Bachelors/Family,1834 sqft,"Gachibowli, Outer Ring Road",Gachibowli,25982.227157311234
17,2 BHK Builder Floor,2,WEST,Furnished,Bachelors/Family,1130 sqft,Adibatla,Vanasthalipuram,25027.25208131108
18,3 BHK Apartment,3,SOUNTH,Semi-Furnished,Bachelors/Family,1870 sqft,"Sumukhi Orbit, Madhapur",Madhapur,27467.463745328067
19,3 BHK Apartment,2,NORTH,Semi-Furnished,Bachelors,1533 sqft,"Ramanthapur, NH",Uppal,22018.611300623335
20,2 BHK Apartment,1,SOUNTH,Unfurnished,Bachelors,1125 sqft,"Lakshmi Nagar Colony-Hanuman Nagar Colony, Secunderabad",Secunderabad,14577.607810883146
21,2 BHK Apartment,1,immediately,Semi-Furnished,Bachelors/Family,1300 sqft,"Manikonda, Outer Ring Road",Manikonda,19928.51988244193
